tag,step,value
val_RMSE/diurnal_sin,27239,3.96948
val_RMSE/diurnal_sin,27693,3.97312
val_RMSE/diurnal_sin,28147,3.87494
val_RMSE/diurnal_sin,28601,3.59162
val_RMSE/diurnal_sin,29055,3.37878
val_RMSE/diurnal_sin,29509,3.14401
val_RMSE/diurnal_sin,29963,3.2444
val_RMSE/diurnal_sin,30417,3.36072
val_RMSE/diurnal_sin,30871,3.30031
val_RMSE/diurnal_sin,31325,3.46441
val_RMSE/diurnal_sin,31779,3.2819
val_RMSE/diurnal_sin,32233,3.30688
val_RMSE/diurnal_sin,32687,3.19232
val_RMSE/diurnal_sin,33141,3.17793
val_RMSE/diurnal_sin,33595,3.02534
val_RMSE/diurnal_sin,34049,2.95855
val_RMSE/diurnal_sin,34503,2.99056
val_RMSE/diurnal_sin,34957,2.77249
val_RMSE/diurnal_sin,35411,2.61423
val_RMSE/diurnal_sin,35865,2.27357
val_RMSE/diurnal_sin,36319,1.812
val_RMSE/diurnal_sin,36773,0.866583
val_RMSE/diurnal_sin,37227,0.527837
val_RMSE/diurnal_sin,37681,0.272222
val_RMSE/diurnal_sin,38135,4.32045
val_RMSE/diurnal_sin,38589,3.2222
val_RMSE/diurnal_sin,39043,0.147466
val_RMSE/diurnal_sin,39497,0.121433
val_RMSE/diurnal_sin,39951,0.192011
val_RMSE/diurnal_sin,40405,0.0813412
val_RMSE/diurnal_sin,40859,0.0755918
val_RMSE/diurnal_sin,41313,0.087191
val_RMSE/diurnal_sin,41767,1.09257
val_RMSE/diurnal_sin,42221,11.6046
val_RMSE/diurnal_sin,42675,9.24954
val_RMSE/diurnal_sin,43129,7.89034
val_RMSE/diurnal_sin,43583,6.77509
val_RMSE/diurnal_sin,44037,5.47906
val_RMSE/diurnal_sin,44491,4.48858
val_RMSE/diurnal_sin,44945,3.24451
val_RMSE/diurnal_sin,45399,0.416986
val_RMSE/diurnal_sin,45853,0.216206
val_RMSE/diurnal_sin,46307,0.136995
val_RMSE/diurnal_sin,46761,0.105011
val_RMSE/diurnal_sin,47215,0.0931205
val_RMSE/diurnal_sin,47669,0.0848713
val_RMSE/diurnal_sin,48123,0.70653
val_RMSE/diurnal_sin,48577,0.102897
